,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
Impranil,1.620183,1.3869661,-0.17352694,1.1641282,-1.822268,-1.2668531,0.42182595,0.5400617,-0.9059182,0.7165153,-1.1012213,0.0015588418,-0.69430834,-0.11335718,0.012831087,-0.54484814,1.4271848,0.67845124,0.09063142,-0.40004173,0.13319996,1.6010399,1.0146245,-0.04995784,-1.3671912,-0.53806597,-0.2982764,0.9192347,0.83095187,1.6774611,0.65240777,-0.963393,0.768069,0.6899976,-0.31188276,-1.1778305,0.98239946,-0.95719856,-0.68164605,0.637303,-0.63843393,0.646883,1.1205878,0.94537324,2.473269,0.18126826,1.0126048,2.0204287,1.2949549,-1.0462273,0.75290227,0.3628753,0.3191245,-0.8184998,-2.6798356,1.0547308,-1.1863358,-0.6307483,-0.54357177,0.7980034,-0.039019793,-0.48061234,0.015646191,-1.0097511
P(3HB-co-3MP),0.045895677,0.11151535,-0.14207996,0.09213357,-0.40872717,0.08384808,0.03989582,0.20016718,-0.138505,-0.26835912,0.052261043,-0.37095475,-0.18136576,0.27982485,0.31120157,0.09531717,-0.33357826,-0.31410006,0.35141483,0.06504397,0.5978459,-0.10795702,-0.20767099,0.089384444,-0.16302279,-0.10342449,-0.32514125,0.12920342,0.4445834,0.1786724,-0.003809116,-0.3823248,-0.33913982,0.17619304,0.17978951,0.19924831,-0.14897561,-0.6596739,0.08836904,0.55622256,0.03697832,-0.24829754,-0.34564513,0.31671146,0.54100615,-0.34655577,0.28357664,0.2511003,0.60068536,-0.19442162,0.51176286,-0.18212515,0.13231535,-0.2475455,0.36645067,-0.112827346,0.36143067,-0.3326847,0.51632214,-0.47640797,-0.2598716,0.11434061,0.3188238,0.20946202
ECOFLEX,-0.049162522,-0.19076747,-0.05297299,-0.040513124,0.02375351,-0.25904354,0.06478362,0.0070867995,-0.5294445,0.3841101,-0.27703238,0.27840987,-0.2287143,0.17164291,0.042402625,-0.26168263,-0.16234463,-0.22805747,0.22027357,-0.16904238,0.44798118,0.2526928,0.17942329,-0.6038523,-0.21253924,-0.42418236,0.14339986,0.24779494,0.52415556,0.18936597,-0.16840135,-0.08858688,0.055216335,0.24544333,-0.25338277,-0.49885452,-0.047999825,-0.23401716,-0.28098932,-0.09721044,-0.25569445,0.36460218,0.4897471,0.004943953,0.6110361,-0.03713181,0.15113458,0.7483115,0.50079477,-0.45974806,0.4823196,-0.44053152,0.19077905,-0.24306954,-0.78848517,0.4123179,-0.115114294,-0.5783536,-0.020416096,-0.54514545,-0.62636507,-0.42826074,0.42050576,-0.18879041
PCL,-0.15278661,-0.27730837,-0.080239095,0.043109115,-0.13440984,-0.028718954,-0.044607263,-0.03696537,-0.13641445,-0.16520216,-0.096737295,-0.28055856,0.16160282,0.16547982,0.2651902,0.035939284,-0.04611454,0.0459062,-0.04589782,0.3537981,0.19892977,-0.108925566,-0.18342666,-0.19741638,-0.2137652,-0.16161054,-0.3536622,0.17796735,-0.19533432,0.43580854,0.21730618,0.040051367,0.04514535,-0.024376687,-0.19774456,0.63433915,0.0015934263,-0.03786921,-0.0012423829,0.15651621,0.10781521,-0.42268008,-0.05869502,0.025163278,0.14271863,0.10683488,0.026732065,0.15051351,-0.099896014,-0.133791,0.07932761,0.021512762,-0.035904314,-0.07027142,0.17787887,-0.007254746,0.01340694,-0.23607108,0.06922831,0.2342346,-0.060946245,0.4677772,0.2170673,0.10704711
PLA,-0.12843461,0.58796114,0.6204291,-0.13003716,-0.72410464,0.6673036,0.024493087,0.32758203,-0.371516,-0.3578923,0.08428083,-0.54481333,0.40729457,0.6383478,-0.19453996,0.060272355,-0.038807,-0.7233317,0.58391565,0.47206527,0.59328204,-0.67834234,-0.009322901,-0.11623669,-0.43054596,0.031878456,-0.24921805,-0.24981634,0.46703923,0.58057946,-0.3597659,-0.76695895,-0.13033174,0.47675273,0.1653459,0.71742356,-0.4751487,-1.3788335,0.3704883,0.69402164,-0.27136976,-0.48742193,-0.46451285,0.89657307,0.6690447,0.36972204,0.7118265,0.6997054,0.8970694,-0.29602468,0.2861791,0.3555936,0.77388847,-0.15275328,-0.289153,0.20446485,-0.19954008,-0.60164016,0.24583517,-0.25662276,-0.55601597,0.96415406,0.35964295,0.12889428
O-PVA,-0.5001449,-1.3617691,0.99702847,-1.4556088,0.51024926,0.6759186,0.82841,0.1719897,-2.2514367,-2.4236732,-0.39979723,-0.7941164,0.30080116,-1.1204047,0.6508241,-0.2688737,1.5988028,-0.16991079,-1.1411568,1.0323145,2.6832232,-0.47037393,-0.72495216,-0.23226888,0.85589427,-1.2269833,-1.1965624,-0.693807,-0.09237102,-0.8859739,0.21875072,0.3051687,-1.1480254,1.7718558,0.20457792,-0.31941494,0.9941677,1.290215,-1.3682481,-0.672167,-1.1325009,-2.399195,-0.25509837,1.0657486,0.47746772,1.5153161,1.4714968,-1.5065123,1.1461877,2.1057599,-0.17090923,0.7794852,2.965908,0.14552952,0.7302656,-0.7511747,-0.20445976,1.5673975,-0.34992132,0.038650353,-0.24896705,2.6221645,-1.365674,-0.10892425
PMCL,-0.154057,-0.22592533,-0.047560494,0.06355285,-0.16737026,0.06265311,-0.009825123,0.031627122,-0.14133498,-0.16231671,-0.092727125,-0.32593384,0.15420577,0.23058668,0.21638267,0.05245312,-0.09181445,0.06619391,-0.00022022585,0.3564072,0.26391327,-0.111804195,-0.17164175,-0.1802794,-0.29738706,-0.14387615,-0.29886872,0.18566824,-0.09073417,0.4059291,0.16961156,-0.028331392,0.062303577,0.016630242,-0.14352565,0.64979976,-0.037740022,-0.120328076,-0.0127261765,0.17830655,0.08790056,-0.41642067,-0.12257263,0.07710611,0.12784606,0.113857225,0.07471023,0.16962443,-0.012030615,-0.14868881,0.15939687,0.063707985,0.028201565,-0.10038951,0.1580057,-0.020887362,-0.019586097,-0.26395532,0.08978712,0.20620945,-0.099172466,0.49700376,0.17128822,0.07737281
PHO,-0.20292395,-0.47502795,-0.5568088,-0.17953399,-0.07249596,-0.1768285,-0.3770147,0.010604377,-0.38512605,-0.16631877,-0.19651684,-0.2229996,-0.18793885,0.0030325062,0.5437798,-0.15543343,0.014000692,-0.41721696,-0.41137215,0.21183588,-0.20061247,-0.18707849,-0.47434795,0.23778619,0.36718476,-0.20107251,-0.9602902,-0.22442527,-0.26004073,0.04767735,-0.26319647,-0.0656901,-0.46228886,0.052400663,0.3048603,0.106210165,-0.07004553,-0.15162311,0.044143073,0.24944292,-0.048164517,-0.37721446,-0.33087137,-0.24522251,0.3878969,-0.29281786,0.17882414,-0.53681374,-0.16590376,-0.15818764,0.34469202,-0.5235171,-0.033262834,0.017368425,0.6807491,-0.12308554,0.5304572,-0.123238936,0.8019658,-0.13999452,-0.009939114,0.11819158,0.3514647,-0.20521761
PHBH,0.023599489,0.16265672,-0.054081693,0.10603246,-0.4968558,0.17680736,0.10463235,0.26694748,-0.01827777,-0.250688,0.0025196478,-0.40852877,-0.13634029,0.3369436,0.14446436,0.27099836,-0.27810082,-0.2038538,0.3236213,0.24520515,0.5789616,-0.1398887,-0.23241542,0.14160194,-0.17504616,-0.09758915,-0.34160203,0.18460487,0.2880196,0.23758584,0.047448307,-0.27878168,-0.24117397,0.22025722,0.066714115,0.35269606,-0.15647946,-0.69073963,0.0059278975,0.47392964,0.093285404,-0.35263056,-0.45221865,0.19609368,0.4362062,-0.16755928,0.36002302,0.25077876,0.53519696,-0.21446168,0.5065921,-0.04951419,0.1392942,-0.20926708,0.3109299,-0.06474981,0.324957,-0.46235836,0.41777247,-0.41471198,-0.26258063,0.19789146,0.31494096,0.11052427
LDPE,0.45281598,-1.2136558,0.75493413,-0.33882308,0.3155536,0.5690343,-1.3945155,-1.0350347,0.27892685,-0.44342595,0.29406393,0.22907747,-1.0996014,0.44986695,0.13809536,0.7126186,1.0934167,-0.17977433,0.123556204,1.0321561,-1.6601597,0.29241306,-0.33886003,2.1739268,3.0932348,0.58321077,-1.6636784,-0.7252245,-1.2872272,-0.45513046,-1.3195738,0.8738541,-0.71859044,-0.43175113,-0.0073437328,-1.0043687,-1.3977016,0.6336445,0.44362223,0.3125606,0.7631801,0.9191413,-0.10596022,0.05246143,-1.8696858,-1.48093,0.16152361,-2.468037,-0.83497775,-0.44176558,-0.29214063,-1.6661298,0.2875846,0.5626771,1.6112596,-1.5879709,1.0965862,0.10379763,-0.3531088,0.9693369,1.9424216,-1.3132305,0.73372155,-1.0467143
PPL,-0.12843461,0.58796114,0.6204291,-0.13003716,-0.72410464,0.6673036,0.024493087,0.32758203,-0.371516,-0.3578923,0.08428083,-0.54481333,0.40729457,0.6383478,-0.19453996,0.060272355,-0.038807,-0.7233317,0.58391565,0.47206527,0.59328204,-0.67834234,-0.009322901,-0.11623669,-0.43054596,0.031878456,-0.24921805,-0.24981634,0.46703923,0.58057946,-0.3597659,-0.76695895,-0.13033174,0.47675273,0.1653459,0.71742356,-0.4751487,-1.3788335,0.3704883,0.69402164,-0.27136976,-0.48742193,-0.46451285,0.89657307,0.6690447,0.36972204,0.7118265,0.6997054,0.8970694,-0.29602468,0.2861791,0.3555936,0.77388847,-0.15275328,-0.289153,0.20446485,-0.19954008,-0.60164016,0.24583517,-0.25662276,-0.55601597,0.96415406,0.35964295,0.12889428
PEA,0.9440005,1.1150075,0.5502097,-0.26093292,-2.3280535,-1.6610343,-0.61242,-2.425164,-2.7364135,-1.4943113,0.40680486,-1.0362278,1.5876938,-0.26558626,0.73361164,-1.4650253,0.063810706,0.97815394,0.30656263,2.2234902,-0.19989777,-1.4770858,-0.86745846,-0.19824794,2.3266172,2.2558148,-0.60621965,0.3984914,-0.64998055,-0.57427704,0.64499456,-1.1599592,-0.1356094,-1.5009236,1.3231751,0.96333206,2.933095,1.9221879,-1.9105731,0.7392418,-0.39150026,-0.06618509,2.6324844,0.61750084,0.91255814,2.1202233,0.8481458,-2.0769088,-1.5875459,1.4913346,-0.6564504,-1.9005853,0.6666706,0.9596879,-0.09576848,-0.03138164,-0.42664832,2.8110874,-0.354652,3.1815093,1.8595551,1.9164518,1.159238,-1.0939579
P4HB,-0.055903014,0.14420442,0.14329119,-0.041876506,-0.5809993,0.37997133,0.16960812,0.2603572,-0.12478063,-0.10508782,-0.10562711,-0.24013676,0.14800712,0.5014181,0.010944749,0.19068572,-0.06040926,0.054067142,0.194813,0.48053172,0.37315503,-0.22277945,-0.24637805,0.019104043,-0.48220292,0.009989499,-0.22672077,0.25590605,0.2269568,0.38201806,0.03811994,-0.3338988,0.16104013,0.13766178,-0.09019353,0.65910596,-0.087459184,-0.50719607,0.09486148,0.35499665,-0.07558779,-0.41850698,-0.43120486,0.21879454,-0.019868208,0.24295065,0.3797052,0.15035203,0.41770774,-0.29564363,0.31972346,0.106602624,0.3499966,-0.21321212,0.0008930899,0.06784374,-0.035042778,-0.41264254,0.10168958,0.014733539,-0.15365285,0.5950391,0.19760755,0.051491972
PHBV,0.06943328,0.305674,0.012421503,0.052047435,-0.5959428,0.3209937,0.13832419,0.2858083,0.022894427,-0.23135489,0.031029806,-0.42546853,-0.18570498,0.43801883,0.122474425,0.34026352,-0.28045616,-0.26778725,0.39928183,0.26039773,0.65104085,-0.16962042,-0.23150991,0.20093204,-0.25369766,-0.090276025,-0.29100654,0.21066989,0.38968104,0.22328919,0.034044843,-0.34990042,-0.22707899,0.2770438,0.08229877,0.3295152,-0.20904821,-0.83240676,0.034370355,0.55125344,0.025182938,-0.3116908,-0.6007995,0.27772215,0.38072112,-0.1722802,0.38159966,0.25758097,0.6936993,-0.28454342,0.57500494,-0.011168667,0.17875807,-0.24981453,0.3038888,-0.07207972,0.3064312,-0.5040198,0.3490019,-0.49403146,-0.2788814,0.18810697,0.32062477,0.10476343
PBSeT,-0.30570865,-0.439656,0.34600922,0.18169488,0.2598111,-0.1195021,-0.40433392,0.12143036,-0.67281294,-0.13709675,0.30180493,-0.1035298,0.068129376,0.54559386,0.29930967,-0.14907661,-0.27339786,-0.07971708,-0.17615186,0.16046898,0.35325035,-0.6784654,0.21783255,-0.37928155,-0.46875256,-0.40295276,-0.45523933,-0.3607908,-0.34351116,0.5422825,0.05744132,0.18661496,0.18404295,-0.28146774,-0.028797776,0.2992772,-0.2557187,0.35154653,0.036474977,-0.12283461,-0.31319594,-0.1911411,0.3123666,0.025774522,-0.12172731,0.58343405,0.006226389,-0.09071193,-0.32782748,0.07705298,-0.10553206,0.2345859,-0.11786162,0.03451439,-0.24967778,0.048225336,-0.54056746,-0.10513898,0.09747757,0.84523195,-0.21505885,0.8008959,0.3704317,0.013325251
PET,-0.2679155,-0.7028163,0.43864942,0.20259131,0.46967858,-0.052167915,-0.52683717,-0.004199397,-1.0527098,-0.16286162,0.31798697,-0.16467547,0.080426134,0.5205872,0.0944486,-0.36372253,-0.46863294,-0.23257658,-0.18541418,0.081259556,0.35452133,-0.8790227,0.13523385,-0.33111945,-0.37746388,-0.4197785,-0.51959723,-0.44108143,-0.22757588,0.7012322,-0.22427621,0.06831093,0.23072386,-0.3201965,0.074411556,0.23031431,-0.37519225,0.5673056,0.13247877,-0.18384188,-0.39129996,-0.09161506,0.4060684,0.14248519,-0.18025202,0.47662285,0.27308366,-0.22524452,-0.5083411,-0.03374153,-0.28486958,0.26012418,-0.22474858,0.009112496,-0.41300818,0.029491143,-0.5197789,-0.15049054,0.4566655,0.9496929,-0.3766046,0.5673946,0.525363,-0.1775494
