,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
PHBVH,0.09261725,0.37131163,0.040202208,0.0567098,-0.62278336,0.35286936,0.17519821,0.3246891,0.047466308,-0.21760853,0.08164671,-0.40328476,-0.21355808,0.50539136,0.09960319,0.38919592,-0.2919226,-0.28014836,0.45410317,0.25280723,0.6764577,-0.16799562,-0.24542154,0.253781,-0.25226277,-0.08296545,-0.24777979,0.21782067,0.40478215,0.1899533,0.064802155,-0.4047628,-0.2295316,0.27880678,0.08473211,0.2632304,-0.21633337,-0.8985807,0.039449923,0.6078863,0.024742307,-0.28106675,-0.66020805,0.28644776,0.38289788,-0.19003356,0.41483858,0.27859646,0.76639515,-0.30621532,0.61293334,-0.04484482,0.19482584,-0.27806014,0.30599973,-0.056341816,0.29643163,-0.5200304,0.3619134,-0.54973227,-0.29129046,0.15392901,0.36322403,0.13279012
NR,0.5396069,-0.95595396,-0.032502666,0.45241323,-0.039220065,-0.85313636,-1.3871574,-1.1929021,-0.56765205,-0.48182017,0.19634534,-0.093625896,-0.17081179,0.39555335,0.010772128,-0.73350364,0.7663125,-0.6207684,0.10084854,0.67451245,-1.5866911,-0.52012455,0.097716294,0.9499247,1.197415,0.38642627,-0.65781087,-0.25833318,-0.92371094,0.6963404,-1.7377412,0.1771968,-0.8454132,-0.5440675,0.381219,0.029280929,-0.4317534,0.7207641,-0.11966345,-0.819377,0.58513325,0.539839,0.36841488,0.3056616,-0.294963,-1.0413023,0.46656507,-0.7933015,-1.3770305,-0.13271467,-0.7977858,-1.5431103,-0.06375048,0.37667173,0.36966014,-0.20366791,0.29358855,-0.2662385,-0.008301451,0.7940534,1.1198425,-0.5393802,1.3795723,-0.9901295
PBAT,0.048389547,-0.3497584,0.072004765,-0.15936829,0.14792517,-0.22324422,-0.10181901,-0.12362518,-0.4023411,0.1970306,-0.18035813,0.18263327,0.024876498,0.21925372,0.08721006,-0.11333839,0.13140303,-0.039210133,-0.05190563,0.066225305,0.17409985,-0.016926244,-0.007019381,-0.49199983,-0.113908134,-0.2656084,-0.039646015,0.0034927342,0.061778776,0.14837079,-0.19626006,0.03190167,0.04106525,0.25492886,-0.12200345,-0.098063014,0.08081396,0.12764329,-0.1394072,-0.11110792,-0.24775296,0.09979952,0.4245601,-0.08534676,0.24015749,0.065474086,-0.059913997,0.22952402,0.097926676,-0.19006766,0.1735598,-0.15589091,0.109452486,-0.045955066,-0.42682153,0.26407626,-0.19115143,-0.28782696,-0.047261525,-0.24860299,-0.2680291,-0.108180575,0.11302839,0.042465277
PEG,0.21305488,0.18738064,-0.11415409,-0.27055702,-0.58165056,0.29084077,0.35159627,-0.6704682,-0.18504673,-0.3406611,0.28637296,0.7820038,0.11782056,0.14684202,0.06410581,0.36951786,0.26406673,0.59605396,-0.028176948,0.7018734,-0.22311562,0.3061114,-0.19529334,0.2104936,1.1561179,0.63106835,-0.7517746,0.43747678,-0.13031411,-0.40508518,0.243751,-0.7251547,0.6250121,-0.22258067,-0.33135352,-0.6734871,0.085306965,-0.17229162,-0.1131004,0.22829705,0.13875155,-0.38070714,0.418188,0.38216487,-0.3237706,0.5834168,0.61885166,-0.63844144,0.2922427,0.37655038,-0.07303347,-0.89328563,0.5493922,-0.21148989,0.1927367,-0.17887087,-0.13689537,1.1647242,-0.5080114,0.30449754,0.21913017,0.17117992,0.49601433,-0.046145774
PEF,0.7677431,0.1594395,1.7316082,-1.105958,0.43586555,0.6789603,0.045412004,0.22245094,-1.4228798,-0.014917407,-0.34006587,-1.1887803,-0.38710853,1.0526437,-0.18086283,-0.78230137,1.0666327,-0.9293792,-0.119324945,-0.60174644,2.0861173,-0.7431382,1.8205065,-1.0548508,-1.9166273,-1.0793434,0.23925889,-0.20440651,0.94613874,-0.03571543,-0.59509355,-0.7741964,1.2335556,1.777842,-0.1824714,-0.42244428,0.27422556,0.5003433,0.14654636,0.5698008,-0.7953819,1.0597419,-0.5724397,1.2546186,0.6199543,0.42706805,0.39756224,1.0216956,1.4252366,-0.6102348,1.1611315,1.5812706,1.8434805,-0.6330269,-0.022683557,1.1152574,-1.4773045,-0.09817078,-1.1262741,-0.27032092,-1.3759432,1.7041687,-0.49182093,0.39350322
PHV,0.0025761768,0.08278377,-0.077778734,0.030893074,-0.44067296,0.20925316,0.07355854,0.18725763,-0.023929214,-0.25048468,-0.019941978,-0.43310955,-0.15020385,0.2897338,0.19446667,0.2555565,-0.24154115,-0.22524545,0.28361148,0.2326275,0.5734141,-0.15099618,-0.23500288,0.094237335,-0.1842143,-0.14133736,-0.3656402,0.14902353,0.2799015,0.23827049,-0.008268153,-0.22561918,-0.2336761,0.24756454,0.06445563,0.37909472,-0.17236227,-0.6529068,0.020090153,0.45493597,0.05528549,-0.36221665,-0.47262672,0.18394864,0.38438478,-0.18042623,0.27985698,0.18507981,0.4984665,-0.23025307,0.48933443,-0.04034132,0.12994781,-0.18715847,0.348215,-0.12312996,0.38153714,-0.45462596,0.37951955,-0.42165902,-0.27230012,0.1836366,0.27227706,0.08502181
PES,-0.51010895,-1.1363999,0.2240393,-0.27863106,0.98825455,-1.4399658,0.16770475,-0.74951684,-1.9892408,-0.6027305,0.5545603,-0.20746134,0.6821905,0.4297016,1.1080492,-0.3150335,-0.22542758,0.046534855,-0.30746686,1.1722567,1.0621535,-0.61392224,0.65097046,-1.2094257,0.8891234,-1.2766125,-0.39004055,-1.3582871,-1.6917952,1.8980588,-0.40455726,0.8622815,-0.34789842,-0.20548366,-0.06955357,0.4386693,0.029428443,0.80846375,-1.646952,-0.12590188,0.13684097,-1.2034751,0.118286565,0.7964573,1.5385255,0.96848524,0.31593937,0.39392722,-0.8460095,1.1877856,0.82435,-1.0676607,0.07047572,-0.40165815,-1.293731,-0.9534869,-1.1494613,0.21072079,-0.40726352,1.2861627,-0.4276445,1.1559072,1.9367294,0.4395132
PHB,0.08992706,0.43858677,0.10444044,0.023865132,-0.72355807,0.4046806,0.1847142,0.32164678,-0.01644754,-0.22900234,0.025496619,-0.46479264,-0.084106945,0.49293542,0.041224718,0.3307265,-0.25780752,-0.3042163,0.46970615,0.29429635,0.67717886,-0.27278975,-0.22822127,0.17061527,-0.39295265,-0.03522726,-0.24101412,0.23324557,0.4861224,0.32685465,0.0130119035,-0.4373235,-0.19012395,0.32842386,0.066168115,0.43600792,-0.19250338,-0.8993823,0.1086143,0.5763636,-0.037741736,-0.33595642,-0.61914957,0.39781743,0.39759207,-0.106241755,0.46612638,0.353838,0.7736359,-0.32162133,0.54559404,0.09881749,0.2791967,-0.31043366,0.18067655,-0.010091534,0.19525671,-0.5205706,0.31488082,-0.48877782,-0.32303384,0.31454846,0.3471493,0.11589045
Nylon,0.1826356,0.28528476,0.3505191,-0.10331378,-0.7431129,-0.7037496,-0.654798,-0.2178221,-0.55201787,-0.2364525,0.031648744,-0.75969684,0.48661277,0.11023484,0.21247765,-0.64628553,0.10565576,0.32028726,-0.03672295,0.9257812,-0.1903919,-0.4100306,-0.5755436,-0.017586766,0.18922055,0.20385201,-0.20712523,0.10958875,-0.5118051,0.23526508,0.507905,-0.16783477,-0.08462211,-0.59120363,0.49299693,0.8169648,0.4970741,0.09396089,-0.2734409,0.290585,-0.13879566,-0.09156291,0.23369704,-0.18882483,0.33791876,0.69352883,0.36680326,-0.29539025,-0.44142407,0.16157356,-0.2183828,-0.12719688,-0.0627059,0.4078678,-0.11631974,0.07918273,-0.2268306,0.07445159,-0.13969654,1.2632517,0.38842583,0.92531514,0.40256533,-0.20893866
P3HP,0.055708338,0.5559601,0.26570934,-0.1934638,-1.0852834,0.48991477,0.4351872,0.29506248,-0.19669825,-0.047039557,-0.08683658,0.026452988,0.17155087,0.7369938,-0.11296934,0.44347048,-0.084973216,-0.084569715,0.43473494,0.499348,0.47210366,-0.28466442,-0.30130273,0.18342814,-0.6270828,0.15681964,-0.18998908,0.37008363,0.5726902,0.36521456,0.08769958,-0.7671933,0.25212872,0.32210737,-0.13768363,0.42018935,-0.15745676,-0.9778955,0.21667857,0.6268935,-0.2930525,-0.33882654,-0.6753609,0.4482561,0.05708808,0.26826528,0.7602788,0.33425617,0.94635814,-0.41828328,0.57075346,0.03636096,0.62089705,-0.44776073,-0.16290525,0.24373403,0.040452186,-0.5560551,0.17273697,-0.3097197,-0.3272294,0.5395601,0.42938897,-0.024614187
PE,0.45281598,-1.2136558,0.75493413,-0.33882308,0.3155536,0.5690343,-1.3945155,-1.0350347,0.27892685,-0.44342595,0.29406393,0.22907747,-1.0996014,0.44986695,0.13809536,0.7126186,1.0934167,-0.17977433,0.123556204,1.0321561,-1.6601597,0.29241306,-0.33886003,2.1739268,3.0932348,0.58321077,-1.6636784,-0.7252245,-1.2872272,-0.45513046,-1.3195738,0.8738541,-0.71859044,-0.43175113,-0.0073437328,-1.0043687,-1.3977016,0.6336445,0.44362223,0.3125606,0.7631801,0.9191413,-0.10596022,0.05246143,-1.8696858,-1.48093,0.16152361,-2.468037,-0.83497775,-0.44176558,-0.29214063,-1.6661298,0.2875846,0.5626771,1.6112596,-1.5879709,1.0965862,0.10379763,-0.3531088,0.9693369,1.9424216,-1.3132305,0.73372155,-1.0467143
PBSA,-0.098160006,-0.11450032,-0.042193063,0.00698304,-0.38003877,0.22664843,0.022474136,0.19673236,-0.1643018,-0.10495512,-0.13099127,-0.44109252,0.13903683,0.4848302,0.15641946,-0.0097110085,0.12316309,0.15627126,0.04978117,0.3186733,0.52766836,-0.24204968,-0.02881804,-0.20658992,-0.64686155,-0.19275165,-0.2835616,0.13551685,0.0032706184,0.4765852,0.17019798,0.028988587,0.20204322,0.22014971,-0.10955379,0.5688901,-0.08980346,0.045492142,0.006613523,0.038015045,-0.13022538,-0.32369176,-0.14067334,0.033716805,-0.03980074,0.045639783,0.07935301,-0.0012657973,0.2253544,-0.25361928,0.12853183,0.15841417,0.16196069,-0.02165915,-0.13839334,0.015809858,-0.2666605,-0.28406844,-0.08859077,0.38272157,0.0052620815,0.6550006,0.06399525,0.10127984
PVA,0.029925399,0.5145241,-0.46188417,-0.15292187,-0.5012951,-0.17302777,-0.053240318,-0.36688375,-0.16051224,-0.8120467,0.63914824,-0.69329983,-0.2700131,-0.28169224,0.27879927,-0.16639248,0.17379431,-0.36094657,-0.046575032,0.1995359,0.85269177,-0.21392661,-0.8184445,-0.24459334,1.0161906,0.6222888,-0.9855808,0.064666644,0.25578958,-0.61136293,-0.41952357,-0.27492207,-0.08389492,0.33716208,0.76779646,-0.21573654,0.48208025,-0.48560393,-0.14751026,0.18097524,0.43482533,-0.5393703,0.28000033,0.46058384,1.0917118,-0.03203043,0.55661553,-0.67655647,0.35850134,0.7657795,-0.27924925,-0.24456178,0.63445866,-0.36561486,0.4501041,-0.6116812,0.063676775,0.81212616,0.15292984,0.27366936,0.13267559,1.3529013,-0.46327564,0.26192743
PBS,-0.09124676,-0.07254516,-0.040966943,-0.0119318105,-0.43247786,0.25844455,0.025630508,0.21011244,-0.18705897,-0.110242315,-0.1458755,-0.46918425,0.16194667,0.5192796,0.14832582,-0.025460232,0.13244414,0.1448379,0.05247234,0.34323174,0.5514508,-0.27395055,-0.03576408,-0.20578642,-0.6923245,-0.18110332,-0.294774,0.13829176,0.042502582,0.49323568,0.13959809,-0.009114418,0.23860222,0.2474164,-0.092067264,0.59368056,-0.10124691,0.020115545,0.009691256,0.047062155,-0.14621747,-0.3191735,-0.16672431,0.07003057,-0.051395934,0.04020258,0.12503941,-0.026107792,0.26164758,-0.2742047,0.15403563,0.16695413,0.20715454,-0.051657967,-0.1526222,0.010171283,-0.28404713,-0.28962848,-0.094513826,0.42347565,0.0034001044,0.71029407,0.04187211,0.08824365
PS,0.42922452,-1.4841517,0.8524,0.27176768,0.20602995,-1.4415635,-1.5069181,-1.9390538,-2.1376123,-1.5753323,0.8311928,-1.2922045,-0.15603217,0.03241946,0.06711177,-1.4024045,0.3790316,-0.84758765,-0.068994746,0.20827429,-0.7593968,-1.0778385,-0.25454184,0.61886925,1.4579765,0.17585617,-0.71086687,-0.84805965,-0.6087073,1.7042319,-1.982069,1.5459312,-1.1964899,-0.9716437,0.84414023,0.9868888,-0.1704242,1.7119045,-0.9368501,-1.3540635,0.30731592,-0.707846,0.7874839,0.5201983,0.2683675,-0.5092268,0.85026664,-1.9025909,-2.000414,0.19444539,-1.9471408,-0.714248,0.03734871,0.25745183,0.015304648,-0.64058363,0.17828709,0.25719562,-0.35717675,1.8184747,1.2481627,0.34073085,1.7612416,-1.5995773
PA,0.1826356,0.28528476,0.3505191,-0.10331378,-0.7431129,-0.7037496,-0.654798,-0.2178221,-0.55201787,-0.2364525,0.031648744,-0.75969684,0.48661277,0.11023484,0.21247765,-0.64628553,0.10565576,0.32028726,-0.03672295,0.9257812,-0.1903919,-0.4100306,-0.5755436,-0.017586766,0.18922055,0.20385201,-0.20712523,0.10958875,-0.5118051,0.23526508,0.507905,-0.16783477,-0.08462211,-0.59120363,0.49299693,0.8169648,0.4970741,0.09396089,-0.2734409,0.290585,-0.13879566,-0.09156291,0.23369704,-0.18882483,0.33791876,0.69352883,0.36680326,-0.29539025,-0.44142407,0.16157356,-0.2183828,-0.12719688,-0.0627059,0.4078678,-0.11631974,0.07918273,-0.2268306,0.07445159,-0.13969654,1.2632517,0.38842583,0.92531514,0.40256533,-0.20893866
PHPV,0.07409351,0.38589078,0.1250773,-0.03687554,-0.69300514,0.4044982,0.22837862,0.29800144,0.07376897,-0.10717706,0.041818045,-0.2987065,-0.12007196,0.5830392,0.0077287005,0.47935078,-0.22780417,-0.19000892,0.47998992,0.3245721,0.55007064,-0.17382522,-0.2868455,0.2743011,-0.35460788,-0.0031528252,-0.14269178,0.27292246,0.4256828,0.21768703,0.07494881,-0.46844035,-0.100803606,0.26271453,-0.008632093,0.29829547,-0.199406,-0.9093373,0.10355215,0.6436924,-0.041034643,-0.20653714,-0.7051651,0.3051506,0.20513552,-0.046197698,0.41558886,0.27214885,0.76648915,-0.36899528,0.5475611,-0.05303561,0.2811772,-0.297387,0.16407456,0.032930553,0.24500787,-0.51994646,0.24076197,-0.47820264,-0.26743892,0.17471966,0.3811952,0.110877454
PU,-0.34509382,-0.18623266,0.6520457,0.18195817,0.038184874,-0.81427044,-0.30376363,-0.070289485,-1.2564805,-0.28353924,-0.30940318,-0.47181377,-0.19450548,0.49615672,0.25086308,-0.69746983,-0.06472196,0.22417007,0.044454556,0.43928957,0.40001655,0.15842119,-0.505002,-0.19989982,-0.09831078,-0.73074585,0.1773998,-0.5059308,-0.5678526,0.40893954,0.70930463,0.46514672,-0.054758772,-0.028768614,-0.07047776,-0.20466304,0.31623548,0.24488004,-0.5850233,0.29085293,-0.14256829,-0.5112187,0.42280632,-0.04726986,0.72675633,0.5497885,0.15571399,-0.27066207,0.22764415,-0.61372477,-0.4836402,0.027071457,-0.06660631,0.35807374,-0.76746196,0.44061074,-0.14125751,0.11830762,0.08549787,0.33677518,-0.08298212,0.39883283,0.7978421,0.08634167
