,Impranil,P(3HB-co-3MP),ECOFLEX,PCL,PLA,O-PVA,PMCL,PHO,PHBH,LDPE,PPL,PEA,P4HB,PHBV,PBSeT,PET,PHBVH,NR,PBAT,PEG,PEF,PHV,PES,PHB,Nylon,P3HP,PE,PBSA,PVA,PBS,PS,PA,PHPV,PU
Impranil,0.99999994,0.15799952,0.5928317,-0.01302299,0.2578976,-0.13738152,0.039387003,-0.28760874,0.15611899,-0.4373545,0.2578976,0.0062910686,0.20735812,0.17486076,-0.06217492,-0.08868198,0.18285035,-0.20519985,0.39606223,-0.0133331185,0.36105466,0.099293604,0.03741925,0.23583896,0.06658022,0.33960903,-0.4373545,0.2004459,-0.079209134,0.21393508,-0.2224017,0.06658022,0.21381044,0.26115242
P(3HB-co-3MP),0.15799952,0.99999994,0.29651642,0.34596893,0.688287,0.055031456,0.45953587,0.42507717,0.9602463,-0.19587138,0.688287,-0.20738514,0.6373749,0.94360054,-0.12458034,-0.11635891,0.93620425,-0.219168,-0.004534041,-0.101937644,0.20968845,0.95729494,-0.026871739,0.9053232,-0.100295156,0.6925025,-0.19587138,0.311804,0.3256023,0.32752872,-0.23878898,-0.100295156,0.8665624,-0.0007179395
ECOFLEX,0.5928317,0.29651642,1.0000001,-0.078370064,0.23421322,-0.15599863,-0.027399082,-0.11545422,0.2269596,-0.41861528,0.23421322,-0.28294665,0.09412042,0.2320235,-0.022574648,0.039307956,0.24220133,-0.19514768,0.80223054,-0.19215107,0.38437754,0.20788677,0.14835995,0.24404964,-0.30754757,0.26351663,-0.41861528,0.03217501,-0.2417641,0.032687634,-0.2455972,-0.30754757,0.23918615,0.24889837
PCL,-0.01302299,0.34596893,-0.078370064,1.0,0.3812676,0.20177454,0.9743541,0.33898664,0.45466992,-0.20609014,0.3812676,0.15822256,0.62813914,0.37222707,0.5393903,0.41263196,0.32057136,-0.027178781,0.099689,-0.069930986,0.061057933,0.47626847,0.4614823,0.38072583,0.48175034,0.33641812,-0.20609014,0.76229143,0.11963198,0.73620313,0.1659558,0.48175034,0.31089285,0.36295143
PLA,0.2578976,0.688287,0.23421322,0.3812676,0.99999976,0.18783349,0.5281291,0.04290202,0.7484642,-0.36444432,0.99999976,-0.08732865,0.83037466,0.7787479,0.18954863,0.15811075,0.76944107,-0.27135113,0.08950617,-0.06334873,0.5154549,0.7304057,0.09249292,0.8553372,0.12125005,0.84579486,-0.36444432,0.54437643,0.24382333,0.57564247,-0.17714809,0.12125005,0.7963282,0.102875695
O-PVA,-0.13738152,0.055031456,-0.15599863,0.20177454,0.18783349,1.0,0.21494769,0.19185466,0.07014776,-0.04764184,0.18783349,0.30907091,0.16066504,0.046383508,0.23355547,0.18378086,0.019343436,-0.14355202,0.0672433,0.24528947,0.34877545,0.101527095,0.36627337,0.059446726,0.18719964,0.06291999,-0.04764184,0.2688291,0.5463479,0.27529252,0.20012468,0.18719964,-0.02081581,0.27588162
PMCL,0.039387003,0.45953587,-0.027399082,0.9743541,0.5281291,0.21494769,1.0000001,0.2808621,0.57761335,-0.28802797,0.5281291,0.08875196,0.764861,0.51406515,0.50967485,0.3845315,0.46609548,-0.13775733,0.08349103,-0.09836882,0.17640312,0.59338164,0.39178574,0.5346967,0.42547825,0.49467844,-0.28802797,0.8333438,0.13281043,0.81746745,0.06066785,0.42547825,0.4656998,0.31063482
PHO,-0.28760874,0.42507717,-0.11545422,0.33898664,0.04290202,0.19185466,0.2808621,0.9999998,0.36829773,0.4008237,0.04290202,0.11334121,0.08225382,0.28146037,0.062188547,0.13638762,0.25042254,0.4147476,-0.039123353,0.033210453,-0.2859225,0.41722843,0.18051869,0.17824826,0.17436495,0.0013949691,0.4008237,0.013515197,0.33914995,0.010216504,0.33737454,0.17436495,0.1463208,0.107416295
PHBH,0.15611899,0.9602463,0.2269596,0.45466992,0.7484642,0.07014776,0.57761335,0.36829773,0.99999994,-0.21397786,0.7484642,-0.22294071,0.7731772,0.98744094,-0.08364368,-0.111923926,0.9773761,-0.26493412,-0.05156965,-0.091218434,0.2042355,0.99278593,-0.025549673,0.9614036,-0.035972867,0.78754574,-0.21397786,0.43850818,0.2711267,0.45189273,-0.26834705,-0.035972867,0.93336356,0.007890867
LDPE,-0.4373545,-0.19587138,-0.41861528,-0.20609014,-0.36444432,-0.04764184,-0.28802797,0.4008237,-0.21397786,1.0,-0.36444432,0.15877795,-0.3329441,-0.21481317,-0.15140446,-0.048875745,-0.20753056,0.72956085,-0.32106408,0.35591072,-0.44974858,-0.17980671,-0.06264551,-0.2981567,0.026371928,-0.33252826,1.0,-0.35384277,0.06681753,-0.35131758,0.48716632,0.026371928,-0.2240686,-0.17344445
PPL,0.2578976,0.688287,0.23421322,0.3812676,0.99999976,0.18783349,0.5281291,0.04290202,0.7484642,-0.36444432,0.99999976,-0.08732865,0.83037466,0.7787479,0.18954863,0.15811075,0.76944107,-0.27135113,0.08950617,-0.06334873,0.5154549,0.7304057,0.09249292,0.8553372,0.12125005,0.84579486,-0.36444432,0.54437643,0.24382333,0.57564247,-0.17714809,0.12125005,0.7963282,0.102875695
PEA,0.0062910686,-0.20738514,-0.28294665,0.15822256,-0.08732865,0.30907091,0.08875196,0.11334121,-0.22294071,0.15877795,-0.08732865,0.9999999,-0.0529061,-0.26396635,0.24960373,0.24148552,-0.27805611,0.37146795,-0.07939826,0.5308069,-0.16348797,-0.24457207,0.3777466,-0.23326117,0.8019406,-0.12312034,0.15877795,0.03627639,0.47837722,0.046068177,0.53513855,0.8019406,-0.268618,0.35820475
P4HB,0.20735812,0.6373749,0.09412042,0.62813914,0.83037466,0.16066504,0.764861,0.08225382,0.7731772,-0.3329441,0.83037466,-0.0529061,0.9999999,0.79207087,0.21489951,0.12150469,0.77592075,-0.33182618,0.0031572287,0.03745852,0.37220335,0.76034445,0.035586677,0.8513632,0.2222068,0.9183199,-0.3329441,0.77616155,0.13266777,0.79691255,-0.24649645,0.2222068,0.8386477,0.09314635
PHBV,0.17486076,0.94360054,0.2320235,0.37222707,0.7787479,0.046383508,0.51406515,0.28146037,0.98744094,-0.21481317,0.7787479,-0.26396635,0.79207087,1.0000002,-0.124937944,-0.1555832,0.9970365,-0.30887806,-0.07084369,-0.077736706,0.26570785,0.97896856,-0.09885384,0.98499763,-0.08596835,0.8377663,-0.21481317,0.43141094,0.2350798,0.45101386,-0.32918406,-0.08596835,0.9713189,-0.044383578
PBSeT,-0.06217492,-0.12458034,-0.022574648,0.5393903,0.18954863,0.23355547,0.50967485,0.062188547,-0.08364368,-0.15140446,0.18954863,0.24960373,0.21489951,-0.124937944,1.0,0.93863934,-0.15595034,0.10386629,0.2800067,-0.12919609,0.26369986,-0.074661314,0.6280932,-0.07445333,0.45943886,-0.0154184,-0.15140446,0.56119555,-0.03678645,0.54214376,0.39966235,0.45943886,-0.15216568,0.5129082
PET,-0.08868198,-0.11635891,0.039307956,0.41263196,0.15811075,0.18378086,0.3845315,0.13638762,-0.111923926,-0.048875745,0.15811075,0.24148552,0.12150469,-0.1555832,0.93863934,1.0000001,-0.18513499,0.25054803,0.31078616,-0.15377972,0.2195777,-0.09898461,0.5765574,-0.10982434,0.3885034,-0.06665486,-0.048875745,0.41809297,-0.059855625,0.40676892,0.52262145,0.3885034,-0.1913866,0.4864312
PHBVH,0.18285035,0.93620425,0.24220133,0.32057136,0.76944107,0.019343436,0.46609548,0.25042254,0.9773761,-0.20753056,0.76944107,-0.27805611,0.77592075,0.9970365,-0.15595034,-0.18513499,1.0000001,-0.3197544,-0.079864904,-0.05828772,0.26513535,0.9639543,-0.12505497,0.9820617,-0.112906,0.8441431,-0.20753056,0.39539948,0.21755469,0.41623127,-0.3608705,-0.112906,0.9793312,-0.05836086
NR,-0.20519985,-0.219168,-0.19514768,-0.027178781,-0.27135113,-0.14355202,-0.13775733,0.4147476,-0.26493412,0.72956085,-0.27135113,0.37146795,-0.33182618,-0.30887806,0.10386629,0.25054803,-0.3197544,0.99999994,-0.034531012,0.15184009,-0.39900452,-0.2485006,0.23524387,-0.34626892,0.29988965,-0.3785499,0.72956085,-0.2424709,0.032793317,-0.24360038,0.8160938,0.29988965,-0.34861323,0.061281905
PBAT,0.39606223,-0.004534041,0.80223054,0.099689,0.08950617,0.0672433,0.08349103,-0.039123353,-0.05156965,-0.32106408,0.08950617,-0.07939826,0.0031572287,-0.07084369,0.2800067,0.31078616,-0.079864904,-0.034531012,1.0,-0.18370466,0.4125322,-0.041359834,0.380966,-0.042576395,-0.08409878,0.03588726,-0.32106408,0.17019492,-0.23300743,0.15646626,0.0026744136,-0.08409878,-0.06964039,0.41128442
PEG,-0.0133331185,-0.101937644,-0.19215107,-0.069930986,-0.06334873,0.24528947,-0.09836882,0.033210453,-0.091218434,0.35591072,-0.06334873,0.5308069,0.03745852,-0.077736706,-0.12919609,-0.15377972,-0.05828772,0.15184009,-0.18370466,1.0000002,-0.19993135,-0.11796721,0.084110096,-0.07827382,0.2042299,0.13709459,0.35591072,-0.14363064,0.41862965,-0.124154314,0.060138278,0.2042299,-0.0033116348,-0.04202416
PEF,0.36105466,0.20968845,0.38437754,0.061057933,0.5154549,0.34877545,0.17640312,-0.2859225,0.2042355,-0.44974858,0.5154549,-0.16348797,0.37220335,0.26570785,0.26369986,0.2195777,0.26513535,-0.39900452,0.4125322,-0.19993135,0.99999994,0.20883869,0.09361765,0.34935424,-0.11018171,0.39940226,-0.44974858,0.4459861,0.030012684,0.46943736,-0.23227318,-0.11018171,0.29233274,0.13894477
PHV,0.099293604,0.95729494,0.20788677,0.47626847,0.7304057,0.101527095,0.59338164,0.41722843,0.99278593,-0.17980671,0.7304057,-0.24457207,0.76034445,0.97896856,-0.074661314,-0.09898461,0.9639543,-0.2485006,-0.041359834,-0.11796721,0.20883869,1.0000001,-0.01818135,0.94633275,-0.05587615,0.75709516,-0.17980671,0.4489966,0.27307057,0.46107885,-0.24026318,-0.05587615,0.9146402,-0.005234298
PES,0.03741925,-0.026871739,0.14835995,0.4614823,0.09249292,0.36627337,0.39178574,0.18051869,-0.025549673,-0.06264551,0.09249292,0.3777466,0.035586677,-0.09885384,0.6280932,0.5765574,-0.12505497,0.23524387,0.380966,0.084110096,0.09361765,-0.01818135,1.0000004,-0.093768574,0.3992559,-0.11507757,-0.06264551,0.27290606,0.15944955,0.25030357,0.4884178,0.3992559,-0.16902515,0.56281626
PHB,0.23583896,0.9053232,0.24404964,0.38072583,0.8553372,0.059446726,0.5346967,0.17824826,0.9614036,-0.2981567,0.8553372,-0.23326117,0.8513632,0.98499763,-0.07445333,-0.10982434,0.9820617,-0.34626892,-0.042576395,-0.07827382,0.34935424,0.94633275,-0.093768574,1.0000001,-0.043947596,0.89760894,-0.2981567,0.4962822,0.22071263,0.52057725,-0.33579096,-0.043947596,0.9782921,-0.028200414
Nylon,0.06658022,-0.100295156,-0.30754757,0.48175034,0.12125005,0.18719964,0.42547825,0.17436495,-0.035972867,0.026371928,0.12125005,0.8019406,0.2222068,-0.08596835,0.45943886,0.3885034,-0.112906,0.29988965,-0.08409878,0.2042299,-0.11018171,-0.05587615,0.3992559,-0.043947596,0.9999998,0.036368143,0.026371928,0.35691494,0.3067992,0.3565994,0.48618525,0.9999998,-0.09150491,0.51033854
P3HP,0.33960903,0.6925025,0.26351663,0.33641812,0.84579486,0.06291999,0.49467844,0.0013949691,0.78754574,-0.33252826,0.84579486,-0.12312034,0.9183199,0.8377663,-0.0154184,-0.06665486,0.8441431,-0.3785499,0.03588726,0.13709459,0.39940226,0.75709516,-0.11507757,0.89760894,0.036368143,1.0000001,-0.33252826,0.5470392,0.11008394,0.5810483,-0.3939187,0.036368143,0.918689,-0.010788226
PE,-0.4373545,-0.19587138,-0.41861528,-0.20609014,-0.36444432,-0.04764184,-0.28802797,0.4008237,-0.21397786,1.0,-0.36444432,0.15877795,-0.3329441,-0.21481317,-0.15140446,-0.048875745,-0.20753056,0.72956085,-0.32106408,0.35591072,-0.44974858,-0.17980671,-0.06264551,-0.2981567,0.026371928,-0.33252826,1.0,-0.35384277,0.06681753,-0.35131758,0.48716632,0.026371928,-0.2240686,-0.17344445
PBSA,0.2004459,0.311804,0.03217501,0.76229143,0.54437643,0.2688291,0.8333438,0.013515197,0.43850818,-0.35384277,0.54437643,0.03627639,0.77616155,0.43141094,0.56119555,0.41809297,0.39539948,-0.2424709,0.17019492,-0.14363064,0.4459861,0.4489966,0.27290606,0.4962822,0.35691494,0.5470392,-0.35384277,0.99999994,0.05743855,0.9972116,-0.017796716,0.35691494,0.434922,0.3153415
PVA,-0.079209134,0.3256023,-0.2417641,0.11963198,0.24382333,0.5463479,0.13281043,0.33914995,0.2711267,0.06681753,0.24382333,0.47837722,0.13266777,0.2350798,-0.03678645,-0.059855625,0.21755469,0.032793317,-0.23300743,0.41862965,0.030012684,0.27307057,0.15944955,0.22071263,0.3067992,0.11008394,0.06681753,0.05743855,1.0,0.08312838,0.21047363,0.3067992,0.13736172,0.029642288
PBS,0.21393508,0.32752872,0.032687634,0.73620313,0.57564247,0.27529252,0.81746745,0.010216504,0.45189273,-0.35131758,0.57564247,0.046068177,0.79691255,0.45101386,0.54214376,0.40676892,0.41623127,-0.24360038,0.15646626,-0.124154314,0.46943736,0.46107885,0.25030357,0.52057725,0.3565994,0.5810483,-0.35131758,0.9972116,0.08312838,1.0000001,-0.024752505,0.3565994,0.45974544,0.29129624
PS,-0.2224017,-0.23878898,-0.2455972,0.1659558,-0.17714809,0.20012468,0.06066785,0.33737454,-0.26834705,0.48716632,-0.17714809,0.53513855,-0.24649645,-0.32918406,0.39966235,0.52262145,-0.3608705,0.8160938,0.0026744136,0.060138278,-0.23227318,-0.24026318,0.4884178,-0.33579096,0.48618525,-0.3939187,0.48716632,-0.017796716,0.21047363,-0.024752505,1.0000004,0.48618525,-0.40943468,0.35505223
PA,0.06658022,-0.100295156,-0.30754757,0.48175034,0.12125005,0.18719964,0.42547825,0.17436495,-0.035972867,0.026371928,0.12125005,0.8019406,0.2222068,-0.08596835,0.45943886,0.3885034,-0.112906,0.29988965,-0.08409878,0.2042299,-0.11018171,-0.05587615,0.3992559,-0.043947596,0.9999998,0.036368143,0.026371928,0.35691494,0.3067992,0.3565994,0.48618525,0.9999998,-0.09150491,0.51033854
PHPV,0.21381044,0.8665624,0.23918615,0.31089285,0.7963282,-0.02081581,0.4656998,0.1463208,0.93336356,-0.2240686,0.7963282,-0.268618,0.8386477,0.9713189,-0.15216568,-0.1913866,0.9793312,-0.34861323,-0.06964039,-0.0033116348,0.29233274,0.9146402,-0.16902515,0.9782921,-0.09150491,0.918689,-0.2240686,0.434922,0.13736172,0.45974544,-0.40943468,-0.09150491,1.0,-0.07301602
PU,0.26115242,-0.0007179395,0.24889837,0.36295143,0.102875695,0.27588162,0.31063482,0.107416295,0.007890867,-0.17344445,0.102875695,0.35820475,0.09314635,-0.044383578,0.5129082,0.4864312,-0.05836086,0.061281905,0.41128442,-0.04202416,0.13894477,-0.005234298,0.56281626,-0.028200414,0.51033854,-0.010788226,-0.17344445,0.3153415,0.029642288,0.29129624,0.35505223,0.51033854,-0.07301602,1.0000002
